Country ISO3,Country Name,Indicator Id,Indicator,Subindicator Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AGO,Angola,3106,Perceived Capabilities,% of 18-64 population,,,,,,,,52,,73.11,,72.05,56.32,61.68,,,,75.65,
AGO,Angola,3107,Perceived Opportunities,% of 18-64 population,,,,,,,,74.45,,67.31,,66.17,56.67,69.75,,,,74.02,
AGO,Angola,3108,Fear of Failure Rate,% of 18-64 population,,,,,,,,41.78,,32.21,,37.94,63.66,44.81,,,,16.63,
AGO,Angola,3109,Entrepreneurial Intention,% of 18-64 population,,,,,,,,27.49,,54.55,,69.61,38.25,39.34,,,,79.83,
AGO,Angola,3110,Know Startup Entrepreneur Rate,% of 18-64 population,,,,,,,,71.24,,68.78,,67.42,71.59,72.9,,,,,
AGO,Angola,3111,Entrepreneurship as Desirable Career Choice,% of 18-64 population,,,,,,,,48.57,,70.1,,,66.77,75.1,,,,74.44,
AGO,Angola,3112,High Status Successful Entrepreneurship,% of 18-64 population,,,,,,,,65.58,,83.3,,,72.64,81.65,,,,80.46,
AGO,Angola,3113,Media Attention for Entrepreneurship,% of 18-64 population,,,,,,,,,,74.66,,,62.11,71.69,,,,,
AGO,Angola,3114,Nascent Entrepreneurship Rate,% of 18-64 population,,,,,,,,19.3,,15.9,,14.89,8.03,9.52,,,,,
AGO,Angola,3115,New Business Ownership Rate,% of 18-64 population,,,,,,,,4.13,,16.33,,18.88,14.68,12.36,,,,,
AGO,Angola,3116,Total early-stage Entrepreneurial Activity (TEA),% of 18-64 population,,,,,,,,22.71,,31.94,,32.39,22.23,21.5,,,,40.84,
AGO,Angola,3117,Established Business Ownership Rate,% of 18-64 population,,,,,,,,4.14,,8.65,,9.06,8.52,6.5,,,,15.16,
AGO,Angola,3118,Necessity-Driven Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,,,,,,,,35.19,,35.82,,23.75,26.12,24.45,,,,,
AGO,Angola,3119,Improvement-Driven Opportunity Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,,,,,,,,30.41,,29.92,,38.26,40.26,43.41,,,,,
AGO,Angola,3120,Total early-stage Entrepreneurial Activity for Male Working Age Population,% of male 18-64 population ,,,,,,,,20.32,,32.85,,34.37,24.33,22.79,,,,,
AGO,Angola,3121,Total early-stage Entrepreneurial Activity for Female Working Age Population,% of female 18-64 population,,,,,,,,25.19,,31.01,,30.61,20.4,20.37,,,,,
AGO,Angola,3122,Informal Investors Rate,% of 18-64 population,,,,,,,,9.82,,16.01,,24.73,24.81,16.09,,,,,
AGO,Angola,3123,Growth Expectation early-stage Entrepreneurial Activity: Relative Prevalence,% of TEA,,,,,,,,27.37,,21.57,,25.09,18.23,23.67,,,,,
AGO,Angola,3124,New Product early-stage Entrepreneurial Activity,% of TEA,,,,,,,,31.74,,32.45,,55.36,55.71,40.91,,,,17.8,
AGO,Angola,3125,International Orientation early-stage Entrepreneurial Activity,% of TEA,,,,,,,,8.86,,15.93,,40.68,23.3,14.07,,,,,
ARE,United Arab Emirates,3106,Perceived Capabilities,% of 18-64 population,,,,,,45.98,62.96,,67.91,,62.07,,,,,55.23,64.79,53.62,62.16
ARE,United Arab Emirates,3107,Perceived Opportunities,% of 18-64 population,,,,,,41.3,49.92,,45.41,,43.72,,,,,25.83,35.45,66.5,66.1
ARE,United Arab Emirates,3108,Fear of Failure Rate,% of 18-64 population,,,,,,31.62,30.62,,25.72,,50.84,,,,,54.38,61.08,24.29,41.73
ARE,United Arab Emirates,3109,Entrepreneurial Intention,% of 18-64 population,,,,,,6.13,35.42,,35.99,,2.41,,,,,48.26,56.33,38.15,38.5
ARE,United Arab Emirates,3110,Know Startup Entrepreneur Rate,% of 18-64 population,,,,,,30.36,41.38,,47.29,,31.19,,,,,,,,
ARE,United Arab Emirates,3111,Entrepreneurship as Desirable Career Choice,% of 18-64 population,,,,,,78.71,72.32,,69.83,,71.08,,,,,75.1,82.73,71.72,70.34
ARE,United Arab Emirates,3112,High Status Successful Entrepreneurship,% of 18-64 population,,,,,,88.26,79.76,,75.17,,73.17,,,,,82.3,87.77,69.44,79.02
ARE,United Arab Emirates,3113,Media Attention for Entrepreneurship,% of 18-64 population,,,,,,81.08,74.4,,68.86,,62.8,,,,,,,,
ARE,United Arab Emirates,3114,Nascent Entrepreneurship Rate,% of 18-64 population,,,,,,1.71,4.6,,6.5,,3.66,,,,,,,,
ARE,United Arab Emirates,3115,New Business Ownership Rate,% of 18-64 population,,,,,,2.2,4.09,,7.38,,2.62,,,,,,,,
ARE,United Arab Emirates,3116,Total early-stage Entrepreneurial Activity (TEA),% of 18-64 population,,,,,,3.74,8.44,,13.25,,6.19,,,,,5.66,8.97,10.72,16.41
ARE,United Arab Emirates,3117,Established Business Ownership Rate,% of 18-64 population,,,,,,1.39,3.38,,5.71,,2.7,,,,,1.9,5.63,2.56,6.96
ARE,United Arab Emirates,3118,Necessity-Driven Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,,,,,,8.66,15.47,,8.71,,14.44,,,,,,,,
ARE,United Arab Emirates,3119,Improvement-Driven Opportunity Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,,,,,,70.74,61.75,,78.92,,67.42,,,,,,,,
ARE,United Arab Emirates,3120,Total early-stage Entrepreneurial Activity for Male Working Age Population,% of male 18-64 population ,,,,,,5.87,9.96,,15.69,,6.91,,,,,,,,
ARE,United Arab Emirates,3121,Total early-stage Entrepreneurial Activity for Female Working Age Population,% of female 18-64 population,,,,,,0.29,6.04,,6.26,,4.32,,,,,,,,
ARE,United Arab Emirates,3122,Informal Investors Rate,% of 18-64 population,,,,,,2.62,7.89,,8.78,,5.83,,,,,,,,
ARE,United Arab Emirates,3123,Growth Expectation early-stage Entrepreneurial Activity: Relative Prevalence,% of TEA,,,,,,77.9,62.52,,75.95,,45.34,,,,,,,,
ARE,United Arab Emirates,3124,New Product early-stage Entrepreneurial Activity,% of TEA,,,,,,81.05,84.49,,61.72,,56.98,,,,,26.5,18.67,28.24,
ARE,United Arab Emirates,3125,International Orientation early-stage Entrepreneurial Activity,% of TEA,,,,,,30.28,38.85,,39.89,,37.25,,,,,,,,
ARG,Argentina,3106,Perceived Capabilities,% of 18-64 population,54.8,66.83,62.83,58.58,55.12,57.49,57.06,62.15,65.11,63.54,63.76,63.46,61.75,57.78,61.62,61.16,43.08,48.79,
ARG,Argentina,3107,Perceived Opportunities,% of 18-64 population,19.83,20.67,65.1,56.64,57.51,57.3,60.8,47.33,43.97,50.35,56.03,50.08,40.87,31.91,45.88,44.29,29.65,35.89,
ARG,Argentina,3108,Fear of Failure Rate,% of 18-64 population,37.17,36.04,33.27,33.04,36.99,32.6,35.03,29.89,36.62,21.33,27.86,27.02,24.92,23.54,25.8,25.77,37.77,31.92,
ARG,Argentina,3109,Entrepreneurial Intention,% of 18-64 population,,10.78,17.15,19.46,17.59,13.42,20.03,15.29,14.21,20.97,29.95,29.2,31.02,27.83,29.14,27.96,13.36,14.83,
ARG,Argentina,3110,Know Startup Entrepreneur Rate,% of 18-64 population,31.88,36.71,34.44,34.47,38.31,35.45,36.19,35.19,33.72,41.71,34.22,33.9,35.44,29.71,33.26,,,,
ARG,Argentina,3111,Entrepreneurship as Desirable Career Choice,% of 18-64 population,,,69.32,67.83,69.04,67.83,74.18,68.79,67.88,74.31,75.85,74.23,,57.82,62.06,61.7,60.4,59.39,
ARG,Argentina,3112,High Status Successful Entrepreneurship,% of 18-64 population,,,71.06,71.62,72.88,67.7,74.07,69.6,75.71,67.09,69.4,66.87,,52.2,52.91,50.4,47.43,49.96,
ARG,Argentina,3113,Media Attention for Entrepreneurship,% of 18-64 population,,,83.75,80.69,79.73,73.86,80.7,79.8,79.61,61.73,65.57,63.41,,63.63,66.65,,,,
ARG,Argentina,3114,Nascent Entrepreneurship Rate,% of 18-64 population,7.61,8.52,12.44,9.15,5.93,6.44,7.75,8.47,6.12,7.16,11.79,11.79,10.51,9.47,11.65,,,,
ARG,Argentina,3115,New Business Ownership Rate,% of 18-64 population,2.65,6.2,8.54,4.49,3.93,4.1,7.1,8.49,9.28,7.29,9.23,7.3,5.63,5.21,6.29,,,,
ARG,Argentina,3116,Total early-stage Entrepreneurial Activity (TEA),% of 18-64 population,9.92,14.15,19.73,12.84,9.49,10.24,14.43,16.54,14.68,14.2,20.78,18.88,15.93,14.41,17.74,14.51,5.97,9.11,
ARG,Argentina,3117,Established Business Ownership Rate,% of 18-64 population,3.92,10.78,7.84,8.06,4.95,6.96,9.96,13.52,13.53,12.41,11.82,9.63,9.62,9.09,9.49,7.9,6.71,9.05,
ARG,Argentina,3118,Necessity-Driven Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,39.41,50.14,37.64,28.96,30.05,25.84,32.25,38.38,46.69,36.25,33.11,34.54,29.82,28.03,29.76,,,,
ARG,Argentina,3119,Improvement-Driven Opportunity Entrepreneurial Activity: Relative Prevalence,% of those involved in TEA,,,,,33.64,53.36,41.1,47.28,37.42,43.28,44.67,46.61,47.43,43.51,50.68,,,,
ARG,Argentina,3120,Total early-stage Entrepreneurial Activity for Male Working Age Population,% of male 18-64 population ,14.81,16.76,26.41,16.72,11.62,13.93,17.52,17.2,17.96,16.16,24.78,23.98,19.2,17.84,19.87,,,,
ARG,Argentina,3121,Total early-stage Entrepreneurial Activity for Female Working Age Population,% of female 18-64 population,5.67,11.55,13.07,8.97,7.39,6.55,11.34,15.88,11.43,12.33,17.08,14.16,12.9,11.22,15.79,,,,
ARG,Argentina,3122,Informal Investors Rate,% of 18-64 population,2.15,2.05,4.4,3.4,4.07,3.5,2.82,3.39,3.04,3.5,3.16,4.53,3.82,5.22,5.97,,,,
ARG,Argentina,3123,Growth Expectation early-stage Entrepreneurial Activity: Relative Prevalence,% of TEA,19.49,16.81,26.06,33.13,35.97,25.78,27.98,33.31,25.83,22.61,23.96,24,26.17,25.85,22.03,,,,
ARG,Argentina,3124,New Product early-stage Entrepreneurial Activity,% of TEA,,46.79,41.75,60.45,65.97,70.53,60.41,70.01,77.06,52.51,46.64,42.49,24.83,46.41,39.33,24.9,13.98,32.17,
ARG,Argentina,3125,International Orientation early-stage Entrepreneurial Activity,% of TEA,,,4.43,8.2,9.34,12.39,3.93,8.84,5.53,2.9,3.77,4.78,3.77,4.83,1.16,,,,
ARM,Armenia,3106,Perceived Capabilities,% of 18-64 population,,,,,,,,,,,,,,,,,,,70
ARM,Armenia,3107,Perceived Opportunities,% of 18-64 population,,,,,,,,,,,,,,,,,,,53.89
ARM,Armenia,3108,Fear of Failure Rate,% of 18-64 population,,,,,,,,,,,,,,,,,,,48.22
